features,feat_dim,runs,mean_loss,std_loss,mean_val_r2,std_val_r2,mean_rank,std_rank,wall_time_s
original (8),8,3,1326.9984130859375,271.57090019700286,-150.83097330729166,15.84578644776583,0.11,0.0,84.13
enriched (10),10,3,1376.0476684570312,249.75785156016792,-162.9671173095703,22.400698273992845,0.10333333333333335,0.004714045207910314,85.45
