topology,trial,model,top1,top5,top10,bias,avg_hop_error,first_detect_time,wall_time_s
SBM,3,DT++ weighted,0,0,0,8058.75,2,200.0,1.4586
SBM,3,DeepTrace++,0,0,0,8022.4399,2,200.0,1.6265
SBM,3,Rumor Center,1,1,1,,0,200.0,0.0069
SBM,4,DeepTrace,1,1,1,24327.3613,0,200.0,1.5311
SBM,4,DT++ enriched,1,1,1,22771.2422,0,200.0,1.6211
SBM,4,DT++ weighted,1,1,1,24320.0176,0,200.0,1.5299
SBM,4,DeepTrace++,1,1,1,24083.4941,0,200.0,1.6843
SBM,4,Rumor Center,1,1,1,,0,200.0,0.0067
SBM,5,DeepTrace,0,0,0,10446.2764,3,,0.2049
SBM,5,DT++ enriched,0,0,0,9509.0645,3,,0.2284
SBM,5,DT++ weighted,0,0,0,10218.6895,3,,0.2838
SBM,5,DeepTrace++,0,0,0,10108.1406,3,,0.2307
SBM,5,Rumor Center,0,1,1,,1,200.0,0.0072
SBM,6,DeepTrace,0,1,1,14271.25,1,,0.2807
SBM,6,DT++ enriched,0,1,1,13030.1895,1,,0.2285
SBM,6,DT++ weighted,0,0,1,14086.5625,1,,0.2767
SBM,6,DeepTrace++,0,1,1,13985.8936,1,,0.2303
SBM,6,Rumor Center,0,1,1,,1,200.0,0.0072
SBM,7,DeepTrace,0,0,0,10814.0283,2,,0.2798
SBM,7,DT++ enriched,0,0,0,10023.4883,2,,0.2303
SBM,7,DT++ weighted,0,0,0,10851.0762,2,,0.2775
SBM,7,DeepTrace++,0,0,0,10621.6104,2,,0.2305
SBM,7,Rumor Center,0,1,1,,1,200.0,0.0071
SBM,8,DeepTrace,0,0,0,10513.8232,5,,0.2866
SBM,8,DT++ enriched,0,0,0,9595.4893,5,,0.2412
SBM,8,DT++ weighted,0,0,0,10419.2461,5,,0.2919
SBM,8,DeepTrace++,0,0,0,10297.3125,3,,0.24
SBM,8,Rumor Center,0,1,1,,2,200.0,0.0071
SBM,9,DeepTrace,1,1,1,14431.0801,0,,0.2799
SBM,9,DT++ enriched,1,1,1,13455.7529,0,,0.2377
SBM,9,DT++ weighted,1,1,1,14482.8594,0,,0.2816
SBM,9,DeepTrace++,1,1,1,14217.1602,0,,0.2526
SBM,9,Rumor Center,1,1,1,,0,200.0,0.0071
SBM,10,DeepTrace,0,0,1,14090.998,5,,0.283
SBM,10,DT++ enriched,0,0,0,12955.6719,5,,0.2367
SBM,10,DT++ weighted,0,0,0,14063.1377,5,,0.2793
SBM,10,DeepTrace++,0,0,1,13951.7139,5,,0.2327
SBM,10,Rumor Center,1,1,1,,0,200.0,0.0072
SBM,11,DeepTrace,0,0,1,11574.2627,4,,0.2821
SBM,11,DT++ enriched,0,0,1,10605.4434,4,,0.2281
SBM,11,DT++ weighted,0,0,0,11490.958,1,,0.2744
SBM,11,DeepTrace++,0,0,1,11317.9199,1,,0.23
SBM,11,Rumor Center,0,1,1,,1,200.0,0.0073
SBM,12,DeepTrace,0,1,1,10996.3828,1,,0.2828
SBM,12,DT++ enriched,0,1,1,10177.1836,1,,0.2332
SBM,12,DT++ weighted,0,1,1,11013.4072,1,,0.217
SBM,12,DeepTrace++,0,1,1,10801.3584,1,,0.2973
SBM,12,Rumor Center,1,1,1,,0,200.0,0.0072
SBM,13,DeepTrace,0,0,0,11934.5996,2,,0.227
SBM,13,DT++ enriched,0,0,0,10802.166,1,,0.3016
SBM,13,DT++ weighted,0,0,0,11786.9707,3,,0.2263
SBM,13,DeepTrace++,0,0,0,11694.918,2,,0.2998
SBM,13,Rumor Center,1,1,1,,0,200.0,0.0073
SBM,14,DeepTrace,0,1,1,17205.7461,2,,0.228
SBM,14,DT++ enriched,0,1,1,15930.6191,3,,0.3011
SBM,14,DT++ weighted,0,1,1,17200.0,2,,0.2277
SBM,14,DeepTrace++,0,1,1,17010.377,2,,0.3012
SBM,14,Rumor Center,1,1,1,,0,200.0,0.0072
SBM,15,DeepTrace,0,0,0,10975.126,2,,0.2226
SBM,15,DT++ enriched,0,0,0,10010.3848,2,,0.2976
SBM,15,DT++ weighted,0,0,0,10849.2305,2,,0.2253
SBM,15,DeepTrace++,0,0,1,10732.9902,2,,0.3
SBM,15,Rumor Center,1,1,1,,0,200.0,0.0071
SBM,16,DeepTrace,0,0,0,9512.4492,4,,0.2171
SBM,16,DT++ enriched,0,0,0,8752.1514,4,,0.2976
SBM,16,DT++ weighted,0,0,0,9594.7432,4,,0.22
SBM,16,DeepTrace++,0,0,0,9384.7637,4,,0.293
SBM,16,Rumor Center,1,1,1,,0,200.0,0.0072
SBM,17,DeepTrace,0,0,0,12133.4824,3,,0.2252
SBM,17,DT++ enriched,0,0,0,11153.2529,3,,0.3028
SBM,17,DT++ weighted,0,0,0,12080.3467,3,,0.2241
SBM,17,DeepTrace++,0,0,0,11886.2793,2,,0.3021
SBM,17,Rumor Center,0,1,1,,2,200.0,0.0072
SBM,18,DeepTrace,0,1,1,16556.5742,1,,0.222
SBM,18,DT++ enriched,0,1,1,15301.2695,1,,0.3005
SBM,18,DT++ weighted,0,1,1,16413.3828,1,,0.2279
SBM,18,DeepTrace++,0,1,1,16264.4053,1,,0.2373
SBM,18,Rumor Center,1,1,1,,0,200.0,0.0071
SBM,19,DeepTrace,0,0,1,12465.1182,2,,0.2924
SBM,19,DT++ enriched,0,0,0,11405.8213,2,,0.2339
SBM,19,DT++ weighted,0,0,0,12463.1738,2,,0.2828
SBM,19,DeepTrace++,0,0,0,12272.8799,2,,0.2434
SBM,19,Rumor Center,0,1,1,,1,200.0,0.0072
